nombre,region,latitud,longitud,altura,codigo_parroquia
10_DE_AGOSTO                                                                                        ,Costa               ,-0.1,-80.1,169, 131752             
11_DE_NOVIEMBRE_(ILINCHISI)                                                                         ,Sierra              ,-0.9,-78.7,2906, 50157              
12_DE_DICIEMBRE_(CAB_EN_ACHIOTES)                                                                   ,Sierra              ,-4.1,-80.1,758, 111452             
16_DE_AGOSTO                                                                                        ,Oriente             ,-1.8,-77.9,853, 140455             
27_DE_ABRIL_(CAB_EN_LA_NARANJA)                                                                     ,Sierra              ,-4.5,-79.5,1306, 110654             
28_DE_MAYO_(SAN_JOSE_DE_YACUAMBI)                                                                   ,Oriente             ,-3.6,-79,1758, 190450             
5_DE_JUNIO_(CAB_EN_UIMBI)                                                                           ,Costa               ,0.9,-78.7,174, 80555              
6_DE_JULIO_DE_CUELLAJE_(CAB_EN_CUELLAJE)                                                            ,Sierra              ,0.5,-78.5,2098, 100357             
ABANNIN                                                                                             ,Costa               ,-3.3,-79.5,1654, 71351              
ABDON_CALDERON_(LA_UNION)                                                                           ,Sierra              ,-3.3,-79.3,1412, 10851              
ABDON_CALDERON_(SAN_FRANCISCO)                                                                      ,Costa               ,-1,-80.3,68, 130151             
ACHUPALLAS                                                                                          ,Sierra              ,-2.4,-78.6,3605, 60251              
AGUAS_NEGRAS                                                                                        ,Oriente             ,-0.1,-76.2,236, 210752             
AHUANO                                                                                              ,Oriente             ,-1,-77.5,409, 150151             
ALAMOR                                                                                              ,Sierra              ,-4,-80.1,1043, 111050             
ALANGASI                                                                                            ,Sierra              ,-0.3,-78.4,2467, 170151             
ALAQUES_(ALAQUEZ)                                                                                   ,Sierra              ,-0.9,-78.5,3818, 50151              
ALAUSI                                                                                              ,Sierra              ,-2.2,-78.9,2279, 60250              
ALEJANDRO_LABAKA                                                                                    ,Oriente             ,-0.6,-76.5,239, 220153             
ALFREDO_BAQUERIZO_MORENO_(JUJAN)                                                                    ,Costa               ,-1.9,-79.5,10, 90250              
ALHAJUELA_(BAJO_GRANDE)                                                                             ,Costa               ,-1.1,-80.3,136, 130152             
ALLURIQUIN                                                                                          ,Sierra              ,-0.3,-78.9,1191, 230151             
ALOAG                                                                                               ,Sierra              ,-0.5,-78.6,3089, 170351             
ALOASI                                                                                              ,Sierra              ,-0.5,-78.6,3229, 170352             
ALSHI_(CAB_EN_9_DE_OCTUBRE)                                                                         ,Oriente             ,-2.2,-78.3,1553, 140151             
ALTO_TAMBO_(CAB_EN_GUADUAL)                                                                         ,Costa               ,0.8,-78.6,1539, 80551              
AMAGUANNA                                                                                           ,Sierra              ,-0.4,-78.5,2643, 170152             
AMALUZA                                                                                             ,Sierra              ,-2.6,-78.5,2050, 11351              
AMALUZA1                                                                                            ,                    ,-4.6,-79.4,2893, 110650             
AMARILLOS                                                                                           ,Sierra              ,-3.9,-79.7,1461, 110554             
AMAZONAS_(ROSARIO_DE_CUYES)                                                                         ,Oriente             ,-3.4,-78.8,2360, 140251             
AMBATILLO                                                                                           ,Sierra              ,-1.2,-78.7,3210, 180151             
AMBATO                                                                                              ,Sierra              ,-1.3,-78.6,2643, 180150             
AMBUQUI                                                                                             ,Sierra              ,0.4,-78,2073, 100151             
