nombre,region,latitud,longitud,altura,codigo_parroquia,Latitude, Longitude, Elevation, HorasDisconfort
10_DE_AGOSTO, Costa, -0.1, -80.1, 169, 131752, -0.13,  -80.05,  169.00,  2182\n
11_DE_NOVIEMBRE_(ILINCHISI), Sierra, -0.9, -78.7, 2906, 50157, -0.92,  -78.67,  2906.00,  5494\n
12_DE_DICIEMBRE_(CAB_EN_ACHIOTES), Sierra, -4.1, -80.1, 758, 111452, -4.06,  -80.11,  758.00,  3566\n
16_DE_AGOSTO, Oriente, -1.8, -77.9, 853, 140455, -1.77,  -77.89,  853.00,  3754\n
27_DE_ABRIL_(CAB_EN_LA_NARANJA), Sierra, -4.5, -79.5, 1306, 110654, -4.45,  -79.45,  1306.00,  4229\n
28_DE_MAYO_(SAN_JOSE_DE_YACUAMBI), Oriente, -3.6, -79, 1758, 190450, -3.64,  -78.98,  1758.00,  3247\n
5_DE_JUNIO_(CAB_EN_UIMBI), Costa, 0.9, -78.7, 174, 80555, 0.93,  -78.75,  174.00,  2380\n, 0.94,  -79.60,  174.00,  2249\n
5_DE_JUNIO_(CAB_EN_UIMBI), Costa, 0.9, -78.7, 174, 80555, 0.93,  -78.75,  174.00,  2380\n, 0.94,  -79.60,  174.00,  2249\n
6_DE_JULIO_DE_CUELLAJE_(CAB_EN_CUELLAJE), Sierra, 0.5, -78.5, 2098, 100357, 0.46,  -78.53,  2098.00,  5435\n
ABANNIN, Costa, -3.3, -79.5, 1654, 71351, -3.34,  -79.52,  1654.00,  3119\n
ABDON_CALDERON_(LA_UNION), Sierra, -3.3, -79.3, 1412, 10851, -3.26,  -79.27,  1412.00,  4163\n
ABDON_CALDERON_(SAN_FRANCISCO), Costa, -1, -80.3, 68, 130151, -1.05,  -80.32,  68.00,  1966\n
ACHUPALLAS, Sierra, -2.4, -78.6, 3605, 60251, -2.36,  -78.64,  3605.00,  6287\n
AGUAS_NEGRAS, Oriente, -0.1, -76.2, 236, 210752, -0.12,  -76.18,  236.00,  2872\n
AHUANO, Oriente, -1, -77.5, 409, 150151, -1.01,  -77.54,  409.00,  3103\n
ALAMOR, Sierra, -4, -80.1, 1043, 111050, -3.97,  -80.06,  1043.00,  3889\n
ALANGASI, Sierra, -0.3, -78.4, 2467, 170151, -0.30,  -78.43,  2467.00,  4975\n
ALAQUES_(ALAQUEZ), Sierra, -0.9, -78.5, 3818, 50151, -0.85,  -78.49,  3818.00,  6429\n
ALAUSI, Sierra, -2.2, -78.9, 2279, 60250, -2.19,  -78.85,  2279.00,  5190\n
ALEJANDRO_LABAKA, Oriente, -0.6, -76.5, 239, 220153, -0.61,  -76.50,  239.00,  2952\n
ALFREDO_BAQUERIZO_MORENO_(JUJAN), Costa, -1.9, -79.5, 10, 90250, -1.95,  -79.55,  10.00,  2383\n
ALHAJUELA_(BAJO_GRANDE), Costa, -1.1, -80.3, 136, 130152, -1.06,  -80.28,  136.00,  1980\n
ALLURIQUIN, Sierra, -0.3, -78.9, 1191, 230151, -0.29,  -78.94,  1191.00,  3930\n
ALOAG, Sierra, -0.5, -78.6, 3089, 170351, -0.45,  -78.65,  3089.00,  5762\n
ALOASI, Sierra, -0.5, -78.6, 3229, 170352, -0.54,  -78.61,  3229.00,  5803\n
ALSHI_(CAB_EN_9_DE_OCTUBRE), Oriente, -2.2, -78.3, 1553, 140151, -2.22,  -78.26,  1553.00,  3963\n
ALTO_TAMBO_(CAB_EN_GUADUAL), Costa, 0.8, -78.6, 1539, 80551, 0.76,  -78.58,  1539.00,  5351\n
AMAGUANNA, Sierra, -0.4, -78.5, 2643, 170152, -0.38,  -78.49,  2643.00,  5045\n
AMALUZA, Sierra, -2.6, -78.5, 2050, 11351, -2.63,  -78.53,  2050.00,  5189\n
AMALUZA1, , -4.6, -79.4, 2893, 110650, -4.60,  -79.39,  2893.00,  5395\n
AMARILLOS, Sierra, -3.9, -79.7, 1461, 110554, -3.88,  -79.69,  1461.00,  4199\n
AMAZONAS_(ROSARIO_DE_CUYES), Oriente, -3.4, -78.8, 2360, 140251, -3.43,  -78.79,  2360.00,  5501\n
AMBATILLO, Sierra, -1.2, -78.7, 3210, 180151, -1.22,  -78.66,  3210.00,  5831\n
AMBATO, Sierra, -1.3, -78.6, 2643, 180150, -1.26,  -78.61,  2643.00,  5395\n
AMBUQUI, Sierra, 0.4, -78, 2073, 100151, 0.41,  -78.02,  2073.00,  5057\n
AMERICA, Costa, -1.4, -80.5, 550, 130651, -1.43,  -80.51,  550.00,  3204\n
ANCHAYACU, Costa, 0.9, -79.1, 48, 80251, 0.95,  -79.11,  48.00,  2347\n
ANCONCITO, Costa, -2.3, -80.9, 31, 240351, -2.31,  -80.88,  31.00,  2593\n
ANCON_(PICHANGAL)_(CAB_EN_PALMA_REAL), Costa, 1.4, -78.9, 10, 80552, 1.41,  -78.86,  10.00,  2490\n
ANGAMARCA, Sierra, -1.1, -78.9, 3334, 50451, -1.12,  -78.91,  3334.00,  6159\n
ANGEL_PEDRO_GILER_(LA_ESTANCILLA), Costa, -0.8, -80.2, 28, 131552, -0.84,  -80.25,  28.00,  1914\n
